ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T23:18:37.195017,ETHUSDT,2923.79,118.76,2923.80,13.33
2025-12-25T23:18:37.246771,ETHUSDT,2923.79,121.01,2923.80,15.22
2025-12-25T23:18:37.286736,ETHUSDT,2923.79,115.11,2923.80,21.12
2025-12-25T23:18:37.299671,ETHUSDT,2923.79,119.18,2923.80,22.98
2025-12-25T23:18:37.355824,ETHUSDT,2923.79,119.18,2923.80,23.35
2025-12-25T23:18:37.405606,ETHUSDT,2923.79,115.08,2923.80,23.35
2025-12-25T23:18:37.415570,ETHUSDT,2923.79,115.14,2923.80,23.35
2025-12-25T23:18:37.425104,ETHUSDT,2923.79,112.92,2923.80,23.35
2025-12-25T23:18:37.618095,ETHUSDT,2923.79,112.92,2923.80,23.06
2025-12-25T23:18:37.675407,ETHUSDT,2923.79,112.92,2923.80,17.16
2025-12-25T23:18:37.685606,ETHUSDT,2923.79,112.92,2923.80,4.15
2025-12-25T23:18:37.694868,ETHUSDT,2923.79,112.92,2923.80,3.76
2025-12-25T23:18:37.705158,ETHUSDT,2923.79,113.78,2923.80,3.64
2025-12-25T23:18:37.719475,ETHUSDT,2923.79,117.31,2923.80,3.65
2025-12-25T23:18:37.724669,ETHUSDT,2923.79,117.31,2924.00,0.02
2025-12-25T23:18:37.734936,ETHUSDT,2923.99,66.61,2924.00,0.02
2025-12-25T23:18:37.744613,ETHUSDT,2924.01,109.38,2924.02,0.44
2025-12-25T23:18:37.761199,ETHUSDT,2924.01,118.15,2924.02,0.45
2025-12-25T23:18:37.825382,ETHUSDT,2924.01,117.91,2924.02,0.45
2025-12-25T23:18:37.884927,ETHUSDT,2924.01,117.91,2924.02,2.84
2025-12-25T23:18:37.904815,ETHUSDT,2924.01,116.62,2924.02,2.84
2025-12-25T23:18:37.914564,ETHUSDT,2924.01,116.57,2924.02,2.84
2025-12-25T23:18:37.944612,ETHUSDT,2924.01,116.57,2924.02,0.68
2025-12-25T23:18:37.956811,ETHUSDT,2924.01,116.57,2924.02,0.57
2025-12-25T23:18:37.994922,ETHUSDT,2924.01,116.57,2924.02,0.47
2025-12-25T23:18:38.026980,ETHUSDT,2924.01,116.57,2924.02,1.72
2025-12-25T23:18:38.094781,ETHUSDT,2924.01,116.57,2924.02,0.36
2025-12-25T23:18:38.175035,ETHUSDT,2924.01,116.57,2924.02,1.21
2025-12-25T23:18:38.244950,ETHUSDT,2924.01,116.57,2924.02,0.36
2025-12-25T23:18:38.314897,ETHUSDT,2924.01,116.57,2924.02,0.96
2025-12-25T23:18:38.324729,ETHUSDT,2924.01,116.57,2924.02,0.62
2025-12-25T23:18:38.384796,ETHUSDT,2924.01,116.57,2924.02,0.02
2025-12-25T23:18:38.395113,ETHUSDT,2924.03,104.14,2924.04,0.47
2025-12-25T23:18:38.404626,ETHUSDT,2924.03,104.58,2924.04,0.47
2025-12-25T23:18:38.539138,ETHUSDT,2924.03,104.58,2924.04,0.70
2025-12-25T23:18:38.604938,ETHUSDT,2924.03,104.58,2924.04,0.58
2025-12-25T23:18:38.615659,ETHUSDT,2924.03,101.79,2924.04,14.09
2025-12-25T23:18:38.625194,ETHUSDT,2924.03,101.79,2924.04,11.93
2025-12-25T23:18:38.676408,ETHUSDT,2924.03,101.79,2924.04,12.11
2025-12-25T23:18:38.685003,ETHUSDT,2924.03,101.79,2924.04,5.62
2025-12-25T23:18:38.745201,ETHUSDT,2924.03,101.79,2924.04,7.18
2025-12-25T23:18:38.906892,ETHUSDT,2924.03,101.79,2924.04,13.67
2025-12-25T23:18:39.415718,ETHUSDT,2924.03,101.85,2924.04,7.18
2025-12-25T23:18:39.455038,ETHUSDT,2924.03,34.76,2924.04,45.85
2025-12-25T23:18:39.464733,ETHUSDT,2924.03,7.28,2924.04,47.86
2025-12-25T23:18:39.474841,ETHUSDT,2924.03,3.86,2924.04,47.86
2025-12-25T23:18:39.873201,ETHUSDT,2924.03,16.39,2924.04,47.86
2025-12-25T23:18:39.874522,ETHUSDT,2924.03,16.45,2924.04,47.86
2025-12-25T23:18:39.874990,ETHUSDT,2924.03,16.45,2924.04,42.06
2025-12-25T23:18:39.875486,ETHUSDT,2924.03,34.89,2924.04,31.74
2025-12-25T23:18:39.896685,ETHUSDT,2924.03,34.92,2924.04,31.74
2025-12-25T23:18:39.904906,ETHUSDT,2924.03,41.53,2924.04,31.74
2025-12-25T23:18:39.953046,ETHUSDT,2924.03,41.53,2924.04,19.49
2025-12-25T23:18:39.996118,ETHUSDT,2924.03,41.53,2924.04,12.11
2025-12-25T23:18:40.086493,ETHUSDT,2924.03,41.83,2924.04,12.11
2025-12-25T23:18:40.115064,ETHUSDT,2924.03,41.83,2924.04,2.74
2025-12-25T23:18:40.195525,ETHUSDT,2924.03,41.83,2924.04,1.33
2025-12-25T23:18:40.265134,ETHUSDT,2924.03,41.83,2924.04,2.03
2025-12-25T23:18:40.337282,ETHUSDT,2924.03,41.83,2924.04,0.98
2025-12-25T23:18:40.395046,ETHUSDT,2924.03,41.63,2924.04,0.98
2025-12-25T23:18:40.404983,ETHUSDT,2924.03,41.63,2924.04,1.85
2025-12-25T23:18:40.415318,ETHUSDT,2924.03,41.60,2924.04,1.85
2025-12-25T23:18:40.486198,ETHUSDT,2924.03,41.60,2924.04,0.89
2025-12-25T23:18:40.544917,ETHUSDT,2924.03,41.59,2924.04,0.89
2025-12-25T23:18:40.557147,ETHUSDT,2924.03,41.59,2924.04,1.81
2025-12-25T23:18:40.587456,ETHUSDT,2924.03,34.98,2924.04,1.81
2025-12-25T23:18:40.625128,ETHUSDT,2924.03,34.98,2924.04,3.05
2025-12-25T23:18:40.634698,ETHUSDT,2924.03,34.98,2924.04,9.54
2025-12-25T23:18:40.695167,ETHUSDT,2924.03,34.98,2924.04,10.44
2025-12-25T23:18:40.756958,ETHUSDT,2924.03,34.98,2924.04,19.37
