ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T20:54:24.193219,ETHUSDT,2948.00,13.98,2948.01,58.33
2025-12-25T20:54:24.244335,ETHUSDT,2948.00,13.98,2948.01,59.97
2025-12-25T20:54:24.552893,ETHUSDT,2948.00,13.98,2948.01,58.33
2025-12-25T20:54:24.683040,ETHUSDT,2948.00,13.98,2948.01,58.24
2025-12-25T20:54:24.692358,ETHUSDT,2948.00,13.98,2948.01,59.90
2025-12-25T20:54:24.793718,ETHUSDT,2948.00,13.98,2948.01,58.24
2025-12-25T20:54:24.853084,ETHUSDT,2948.00,13.98,2948.01,59.90
2025-12-25T20:54:24.984116,ETHUSDT,2948.00,13.98,2948.01,58.24
2025-12-25T20:54:25.184520,ETHUSDT,2948.00,13.98,2948.01,59.92
2025-12-25T20:54:25.292893,ETHUSDT,2948.00,13.98,2948.01,58.24
2025-12-25T20:54:25.336315,ETHUSDT,2948.00,13.98,2948.01,59.92
2025-12-25T20:54:25.353694,ETHUSDT,2948.00,13.98,2948.01,59.90
2025-12-25T20:54:25.504052,ETHUSDT,2948.00,13.98,2948.01,58.22
2025-12-25T20:54:25.553976,ETHUSDT,2948.00,13.98,2948.01,58.24
2025-12-25T20:54:25.917379,ETHUSDT,2948.00,13.98,2948.01,58.22
2025-12-25T20:54:26.423280,ETHUSDT,2948.00,13.98,2948.01,59.94
2025-12-25T20:54:26.453032,ETHUSDT,2948.00,13.98,2948.01,59.92
2025-12-25T20:54:26.552904,ETHUSDT,2948.00,13.98,2948.01,59.94
2025-12-25T20:54:26.592761,ETHUSDT,2948.00,13.98,2948.01,58.22
2025-12-25T20:54:26.613260,ETHUSDT,2948.00,13.98,2948.01,59.95
2025-12-25T20:54:26.703994,ETHUSDT,2948.00,13.98,2948.01,58.22
2025-12-25T20:54:27.323784,ETHUSDT,2948.00,13.98,2948.01,59.97
2025-12-25T20:54:27.429206,ETHUSDT,2948.00,13.98,2948.01,58.22
2025-12-25T20:54:27.452466,ETHUSDT,2948.00,13.98,2948.01,58.20
2025-12-25T20:54:27.492374,ETHUSDT,2948.00,11.07,2948.01,59.96
2025-12-25T20:54:27.512463,ETHUSDT,2948.00,13.98,2948.01,59.96
2025-12-25T20:54:27.572215,ETHUSDT,2948.00,13.98,2948.01,58.20
2025-12-25T20:54:27.804081,ETHUSDT,2948.00,13.97,2948.01,58.20
2025-12-25T20:54:28.135156,ETHUSDT,2948.00,8.78,2948.01,58.20
2025-12-25T20:54:28.147795,ETHUSDT,2948.00,5.87,2948.01,59.98
2025-12-25T20:54:28.893676,ETHUSDT,2948.00,5.87,2948.01,58.20
2025-12-25T20:54:28.930385,ETHUSDT,2948.00,5.87,2948.01,60.01
2025-12-25T20:54:29.037179,ETHUSDT,2948.00,5.87,2948.01,58.01
2025-12-25T20:54:29.073102,ETHUSDT,2948.00,5.87,2948.01,58.03
2025-12-25T20:54:29.163090,ETHUSDT,2948.00,5.63,2948.01,58.03
2025-12-25T20:54:29.243389,ETHUSDT,2948.00,13.74,2948.01,58.03
2025-12-25T20:54:29.292714,ETHUSDT,2948.00,13.74,2948.01,56.22
2025-12-25T20:54:29.373244,ETHUSDT,2948.00,13.74,2948.01,58.04
2025-12-25T20:54:29.514900,ETHUSDT,2948.00,13.74,2948.01,56.22
2025-12-25T20:54:29.613866,ETHUSDT,2948.00,13.74,2948.01,56.20
2025-12-25T20:54:29.828545,ETHUSDT,2948.00,12.07,2948.01,56.20
2025-12-25T20:54:29.834580,ETHUSDT,2948.00,13.78,2948.01,56.20
2025-12-25T20:54:29.862013,ETHUSDT,2948.00,13.78,2948.01,58.04
2025-12-25T20:54:29.984748,ETHUSDT,2948.00,13.78,2948.01,56.20
2025-12-25T20:54:30.053708,ETHUSDT,2948.00,14.58,2948.01,56.20
2025-12-25T20:54:30.135029,ETHUSDT,2948.00,14.58,2948.01,58.05
2025-12-25T20:54:30.263476,ETHUSDT,2948.00,14.58,2948.01,56.20
2025-12-25T20:54:30.333164,ETHUSDT,2948.00,14.58,2948.01,56.19
2025-12-25T20:54:30.342620,ETHUSDT,2948.00,18.21,2948.01,54.41
2025-12-25T20:54:30.436454,ETHUSDT,2948.00,18.21,2948.01,52.56
2025-12-25T20:54:30.772950,ETHUSDT,2948.00,17.41,2948.01,54.42
2025-12-25T20:54:30.806251,ETHUSDT,2948.00,17.41,2948.01,52.56
2025-12-25T20:54:30.833130,ETHUSDT,2948.00,15.70,2948.01,52.56
2025-12-25T20:54:30.842531,ETHUSDT,2948.00,17.34,2948.01,52.56
2025-12-25T20:54:30.892832,ETHUSDT,2948.00,17.34,2948.01,54.43
2025-12-25T20:54:31.063447,ETHUSDT,2948.00,17.34,2948.01,52.56
2025-12-25T20:54:31.622982,ETHUSDT,2948.00,17.34,2948.01,54.44
2025-12-25T20:54:31.672894,ETHUSDT,2948.00,17.34,2948.01,52.56
2025-12-25T20:54:31.723597,ETHUSDT,2948.00,17.34,2948.01,52.66
2025-12-25T20:54:31.782823,ETHUSDT,2948.00,18.14,2948.01,41.84
2025-12-25T20:54:31.793596,ETHUSDT,2948.00,18.14,2948.01,44.75
2025-12-25T20:54:31.882893,ETHUSDT,2948.00,18.72,2948.01,44.75
2025-12-25T20:54:31.926274,ETHUSDT,2948.00,18.14,2948.01,44.75
2025-12-25T20:54:31.992806,ETHUSDT,2948.00,18.14,2948.01,42.86
2025-12-25T20:54:32.026561,ETHUSDT,2948.00,18.14,2948.01,42.76
2025-12-25T20:54:32.032962,ETHUSDT,2948.00,18.14,2948.01,44.65
2025-12-25T20:54:32.132543,ETHUSDT,2948.00,18.14,2948.01,42.76
2025-12-25T20:54:32.173913,ETHUSDT,2948.00,18.14,2948.01,44.66
2025-12-25T20:54:32.284530,ETHUSDT,2948.00,18.14,2948.01,42.76
2025-12-25T20:54:32.384545,ETHUSDT,2948.00,18.14,2948.01,42.74
2025-12-25T20:54:33.361010,ETHUSDT,2948.00,18.14,2948.01,44.65
2025-12-25T20:54:33.361350,ETHUSDT,2948.00,18.14,2948.01,42.74
2025-12-25T20:54:33.707695,ETHUSDT,2948.00,22.69,2948.01,42.74
2025-12-25T20:54:33.745680,ETHUSDT,2948.00,22.69,2948.01,44.66
2025-12-25T20:54:33.747525,ETHUSDT,2948.00,22.69,2948.01,41.90
2025-12-25T20:54:33.812248,ETHUSDT,2948.00,22.69,2948.01,39.98
2025-12-25T20:54:33.853315,ETHUSDT,2948.00,22.69,2948.01,28.24
2025-12-25T20:54:33.932750,ETHUSDT,2948.00,23.26,2948.01,30.16
2025-12-25T20:54:33.952775,ETHUSDT,2948.00,24.41,2948.01,5.88
2025-12-25T20:54:33.962557,ETHUSDT,2948.00,24.41,2948.01,0.24
2025-12-25T20:54:33.978399,ETHUSDT,2948.06,2.54,2948.07,37.88
2025-12-25T20:54:33.983043,ETHUSDT,2948.06,103.43,2948.07,39.65
2025-12-25T20:54:33.992217,ETHUSDT,2948.06,103.43,2948.07,37.74
2025-12-25T20:54:34.052651,ETHUSDT,2948.06,101.41,2948.07,37.74
2025-12-25T20:54:34.153616,ETHUSDT,2948.06,99.39,2948.07,37.76
2025-12-25T20:54:34.253506,ETHUSDT,2948.06,99.39,2948.07,37.74
2025-12-25T20:54:34.373340,ETHUSDT,2948.06,99.49,2948.07,37.74
2025-12-25T20:54:34.883464,ETHUSDT,2948.06,101.13,2948.07,37.74
2025-12-25T20:54:35.073059,ETHUSDT,2948.06,101.13,2948.07,42.98
2025-12-25T20:54:35.614512,ETHUSDT,2948.06,101.28,2948.07,42.98
2025-12-25T20:54:35.873335,ETHUSDT,2948.06,99.64,2948.07,42.98
2025-12-25T20:54:35.884446,ETHUSDT,2948.06,101.22,2948.07,42.98
2025-12-25T20:54:36.085825,ETHUSDT,2948.06,101.45,2948.07,42.98
2025-12-25T20:54:36.895718,ETHUSDT,2948.06,99.87,2948.07,42.98
2025-12-25T20:54:36.907826,ETHUSDT,2948.06,101.45,2948.07,42.98
2025-12-25T20:54:37.769063,ETHUSDT,2948.06,101.64,2948.07,42.98
2025-12-25T20:54:37.918253,ETHUSDT,2948.06,100.06,2948.07,42.98
2025-12-25T20:54:37.926073,ETHUSDT,2948.06,101.59,2948.07,42.98
2025-12-25T20:54:38.933338,ETHUSDT,2948.06,100.06,2948.07,42.98
2025-12-25T20:54:38.943388,ETHUSDT,2948.06,101.59,2948.07,42.98
2025-12-25T20:54:39.164220,ETHUSDT,2948.06,100.85,2948.07,42.98
2025-12-25T20:54:39.324106,ETHUSDT,2948.06,100.78,2948.07,42.98
2025-12-25T20:54:39.426007,ETHUSDT,2948.06,100.75,2948.07,42.98
2025-12-25T20:54:39.673793,ETHUSDT,2948.06,94.98,2948.07,42.98
2025-12-25T20:54:39.963519,ETHUSDT,2948.06,93.45,2948.07,42.98
2025-12-25T20:54:39.971997,ETHUSDT,2948.06,94.98,2948.07,42.98
2025-12-25T20:54:40.253264,ETHUSDT,2948.06,93.06,2948.07,42.98
2025-12-25T20:54:40.987140,ETHUSDT,2948.06,93.09,2948.07,42.98
2025-12-25T20:54:41.152299,ETHUSDT,2948.06,93.09,2948.07,43.00
2025-12-25T20:54:41.253504,ETHUSDT,2948.06,93.09,2948.07,42.98
